1-vl-120.amb.yahoo.com 87.248.116.129
1-vl-120.deb.yahoo.com 87.248.118.129
10-vl-120.amb.yahoo.com 87.248.117.2
10-vl-120.dca.yahoo.com 69.147.94.193
108.103.139.98.aprez.ostk.prod.bf1.yahoo.com 98.139.103.108
11-vl-120.amb.yahoo.com 87.248.117.65
11-vl-120.dca.yahoo.com 69.147.94.65
111.203.10.106.aprez.ostk.prod.sg3.yahoo.com 106.10.203.111
116.148.139.98.aprez.ostk.prod.bf1.yahoo.com 98.139.148.116
118.mail.vip.bf1.yahoo.com 98.139.186.180
12-vl-120.amb.yahoo.com 87.248.117.66
12-vl-120.dca.yahoo.com 69.147.95.1
193.138.10.106.aprez.ostk.prod.sg3.yahoo.com 106.10.138.193
196.171.10.106.aprez.ostk.prod.sg3.yahoo.com 106.10.171.196
196.243.139.98.aprez.ostk.prod.bf1.yahoo.com 98.139.243.196
199.173.10.106.aprez.ostk.prod.sg3.yahoo.com 106.10.173.199
1ns.yahoo.com 74.6.35.130
2-vl-120.amb.yahoo.com 87.248.116.130
2-vl-120.dca.yahoo.com 69.147.92.193
2-vl-120.deb.yahoo.com 87.248.118.193
20000069.retire.ops.ir2.yahoo.com 46.228.40.129
20000086.retire.ops.ir2.yahoo.com 188.125.84.48
20000910.retire.ops.ir2.yahoo.com 188.125.80.173
201.snp.mobile.gq1.yahoo.com 206.190.44.217
2012test-vm.corpapps.corp.gq1.yahoo.com 69.147.110.181
2013-en-imagenes.es.yahoo.com 13.248.158.7,76.223.84.192
202.snp.mobile.gq1.yahoo.com 206.190.44.218
204.snp.mobile.gq1.yahoo.com 206.190.44.220
208.100.139.98.aprez.ostk.prod.bf1.yahoo.com 98.139.100.208
212.138.10.106.aprez.ostk.prod.sg3.yahoo.com 106.10.138.212
217.226.142.68.aprez.ostk.prod.bf1.yahoo.com 68.142.226.217
224-si2.corp.yahoo.com 207.126.224.5
227-si1.corp.yahoo.com 207.126.227.4
232-si1.corp.yahoo.com 207.126.232.4
232-si2.corp.yahoo.com 207.126.232.5
2ns.yahoo.com 98.139.24.68
3-vl-120.amb.yahoo.com 87.248.116.193
3-vl-120.dca.yahoo.com 69.147.92.65
3-vl-120.deb.yahoo.com 87.248.118.65
3000301.retire.ops.ir2.yahoo.com 46.228.47.121
351-si1.corp.yahoo.com 216.145.51.4
351-si2.corp.yahoo.com 216.145.51.96
360.yahoo.com 13.248.158.7,76.223.84.192
3c-events.yahoo.com 13.248.158.7,76.223.84.192
3d.yahoo.com 13.248.158.7,76.223.84.192
3p-geo.yahoo.com 188.125.72.139
3p-pclick.europe.yahoo.com 188.125.72.139
3p-pclick.internal.yahoo.com 188.125.72.139
3p-udc.yahoo.com 188.125.72.139
4-vl-120.amb.yahoo.com 87.248.116.194
4-vl-120.dca.yahoo.com 69.147.93.1
4-vl-120.deb.yahoo.com 87.248.119.1
5-vl-120.amb.yahoo.com 87.248.116.65
5-vl-120.dca.yahoo.com 69.147.93.129
6-vl-120.amb.yahoo.com 87.248.116.66
6-vl-120.dca.yahoo.com 69.147.93.193
6-vl-120.deb.yahoo.com 87.248.119.65
62024-v4-bucket-6452369-90721-1.prod.gq1.yahoo.com 68.180.203.113
62024-v4-bucket-6452369-90721-2.prod.gq1.yahoo.com 68.180.203.114
62024-v4-bucket-6452369-90721-3.prod.gq1.yahoo.com 68.180.203.115
62024-v4-bucket-6452370-90721-1.prod.gq1.yahoo.com 68.180.203.120
62024-v4-bucket-6452370-90721-2.prod.gq1.yahoo.com 68.180.203.121
62024-v4-bucket-6452370-90721-3.prod.gq1.yahoo.com 68.180.203.122
62024-v4-bucket-6452379-90723-3.prod.gq1.yahoo.com 74.6.47.189
64699-v4-bucket-7034005-98873-2.prod.gq1.yahoo.com 68.180.242.253
64699-v4-bucket-7034005-98873-3.prod.gq1.yahoo.com 68.180.242.254
7-vl-120.amb.yahoo.com 87.248.117.1
7-vl-120.dca.yahoo.com 69.147.93.65
703884.retire.ops.bf1.yahoo.com 98.139.137.206
8-vl-120.amb.yahoo.com 87.248.117.129
8-vl-120.dca.yahoo.com 69.147.94.1
812722.retire.ops.bf1.yahoo.com 72.30.43.213
88.240.139.98.aprez.ostk.prod.bf1.yahoo.com 98.139.240.88
9-vl-120.amb.yahoo.com 87.248.117.130
9-vl-120.dca.yahoo.com 69.147.94.129
93.15.12.217.aprez.ostk.prod.ir2.yahoo.com 217.12.15.93
a-egle-anls.eds.yahoo.com 67.195.65.106
a-read.grp.vip.bf1.yahoo.com 98.139.238.143
a.mg.mail.yahoo.com 87.248.116.11,87.248.116.12
a0.apac.yahoo.com 27.123.60.53
a1-new.dns.bfy.yahoo.com 216.115.97.165
a1-new.dns.gqb.yahoo.com 66.196.67.39
a1-vm1.m14.ymdb.gq1.yahoo.com 98.137.27.84
a1.apac.yahoo.com 27.123.61.53
a1.dns.ams.yahoo.com 66.196.64.134
a1.dns.atz.yahoo.com 72.30.220.232
a1.dns.auz.yahoo.com 183.177.68.173
a1.dns.bfy.yahoo.com 216.115.97.138
a1.dns.bfz.yahoo.com 216.115.100.40
a1.dns.bgz.yahoo.com 212.82.116.180
a1.dns.che.yahoo.com 216.115.103.71
a1.dns.dax.yahoo.com 216.115.99.107
a1.dns.dce.yahoo.com 66.196.68.10
a1.dns.dcz.yahoo.com 216.115.104.183
a1.dns.dez.yahoo.com 66.196.66.40
a1.dns.dnx.yahoo.com 216.115.111.202
a1.dns.esz.yahoo.com 188.125.95.188
a1.dns.fry.yahoo.com 188.125.88.184
a1.dns.frz.yahoo.com 66.196.68.184
a1.dns.gqz.yahoo.com 72.30.222.168
a1.dns.hkx.yahoo.com 124.108.76.175
a1.dns.hkz.yahoo.com 183.177.76.175
a1.dns.iny.yahoo.com 27.123.42.174
a1.f10.ymdb.gq1.yahoo.com 98.139.112.42
a1.f11.ymdb.bf1.yahoo.com 98.139.197.96
a1.f12.ymdb.gq1.yahoo.com 98.139.114.64
a1.f63.ymdb.gq1.yahoo.com 208.71.40.96
a1.f98.ymdb.bf1.yahoo.com 98.139.200.192
a1.m30.ymdb.in.yahoo.com 180.222.116.240
a1.t101.ymdb.gq1.yahoo.com 67.195.7.60
a10.dns.iny.yahoo.com 27.123.42.190
a10.f10.ymdb.gq1.yahoo.com 98.139.112.102
a10.f11.ymdb.bf1.yahoo.com 98.139.197.105
a10.f12.ymdb.gq1.yahoo.com 98.139.114.73
a10.f63.ymdb.gq1.yahoo.com 208.71.40.105
a10.f98.ymdb.bf1.yahoo.com 98.139.200.201
a11.dns.iny.yahoo.com 27.123.42.165
a11.f10.ymdb.gq1.yahoo.com 98.139.112.52
a11.f11.ymdb.bf1.yahoo.com 98.139.197.106
a11.f12.ymdb.gq1.yahoo.com 98.139.114.74
a11.f63.ymdb.gq1.yahoo.com 208.71.40.106
a11.f98.ymdb.bf1.yahoo.com 98.139.200.202
a12.f10.ymdb.gq1.yahoo.com 98.139.112.101
a12.f11.ymdb.bf1.yahoo.com 98.139.197.107
a12.f12.ymdb.gq1.yahoo.com 98.139.114.75
a12.f98.ymdb.bf1.yahoo.com 98.139.200.203
a13.dns.iny.yahoo.com 27.123.42.186
a13.f10.ymdb.gq1.yahoo.com 98.139.112.49
a13.f11.ymdb.bf1.yahoo.com 98.139.197.108
a13.f12.ymdb.gq1.yahoo.com 98.139.114.76
